15322418 [Pos{x=2624, y=0, z=2848}, Pos{x=1120, y=0, z=1920}, Pos{x=3040, y=0, z=2304}, Pos{x=2912, y=0, z=64}, Pos{x=512, y=0, z=-2336}]
75277662 [Pos{x=-16, y=0, z=-3056}, Pos{x=3040, y=0, z=-2304}, Pos{x=3040, y=0, z=3008}, Pos{x=3040, y=0, z=2240}, Pos{x=3040, y=0, z=1184}]
76318116 [Pos{x=1856, y=0, z=384}, Pos{x=-992, y=0, z=-1472}, Pos{x=-2912, y=0, z=-64}, Pos{x=-2144, y=0, z=1760}, Pos{x=1824, y=0, z=1024}]
78510162 [Pos{x=-944, y=0, z=-560}, Pos{x=-1696, y=0, z=-448}, Pos{x=1824, y=0, z=2720}, Pos{x=3040, y=0, z=3008}, Pos{x=1152, y=0, z=-2592}]
81230070 [Pos{x=2912, y=0, z=1600}, Pos{x=-2736, y=0, z=1488}, Pos{x=3040, y=0, z=-1152}, Pos{x=1664, y=0, z=2080}, Pos{x=1184, y=0, z=-1984}]
82480386 [Pos{x=1648, y=0, z=2640}, Pos{x=-800, y=0, z=-1408}, Pos{x=-1312, y=0, z=1088}, Pos{x=2944, y=0, z=2592}, Pos{x=-1952, y=0, z=-1920}]
85362496 [Pos{x=1056, y=0, z=-2080}, Pos{x=1360, y=0, z=2576}, Pos{x=-1184, y=0, z=-2624}, Pos{x=-480, y=0, z=-864}, Pos{x=3040, y=0, z=-704}]
88700259 [Pos{x=3040, y=0, z=-768}, Pos{x=-1088, y=0, z=1024}, Pos{x=-1504, y=0, z=1344}, Pos{x=1888, y=0, z=-2304}, Pos{x=3040, y=0, z=2336}]
89026438 [Pos{x=3040, y=0, z=-1856}, Pos{x=1120, y=0, z=2944}, Pos{x=-1360, y=0, z=1232}, Pos{x=-448, y=0, z=-1696}, Pos{x=1856, y=0, z=-2048}]
92849173 [Pos{x=1296, y=0, z=-2032}, Pos{x=-32, y=0, z=1024}, Pos{x=624, y=0, z=2320}, Pos{x=1632, y=0, z=3040}, Pos{x=2464, y=0, z=-1056}]
93061401 [Pos{x=-2736, y=0, z=-2704}, Pos{x=1952, y=0, z=-2240}, Pos{x=1568, y=0, z=3008}, Pos{x=-352, y=0, z=-2976}, Pos{x=-576, y=0, z=960}]
94522903 [Pos{x=-416, y=0, z=-1728}, Pos{x=1808, y=0, z=-368}, Pos{x=3040, y=0, z=-1856}, Pos{x=-992, y=0, z=1856}, Pos{x=1616, y=0, z=-2032}]
97154849 [Pos{x=-2752, y=0, z=1472}, Pos{x=-2080, y=0, z=-512}, Pos{x=1408, y=0, z=-2624}, Pos{x=2016, y=0, z=3040}, Pos{x=-736, y=0, z=320}]
98093948 [Pos{x=-320, y=0, z=2816}, Pos{x=2928, y=0, z=-2832}, Pos{x=-1696, y=0, z=1216}, Pos{x=2848, y=0, z=-384}, Pos{x=2336, y=0, z=-1152}]
99026423 [Pos{x=864, y=0, z=32}, Pos{x=2656, y=0, z=-2112}, Pos{x=-2464, y=0, z=1952}, Pos{x=-2144, y=0, z=-2176}, Pos{x=80, y=0, z=1552}]
100170109 [Pos{x=1952, y=0, z=1600}, Pos{x=-2224, y=0, z=-2992}, Pos{x=2880, y=0, z=-3072}, Pos{x=-2560, y=0, z=1824}, Pos{x=608, y=0, z=-1984}]
101659141 [Pos{x=2192, y=0, z=-1744}, Pos{x=3040, y=0, z=-1024}, Pos{x=2912, y=0, z=-1088}, Pos{x=2080, y=0, z=-2560}, Pos{x=1456, y=0, z=48}]
104911653 [Pos{x=-2656, y=0, z=-1536}, Pos{x=2272, y=0, z=-2816}, Pos{x=3040, y=0, z=2944}, Pos{x=3040, y=0, z=1536}, Pos{x=-720, y=0, z=-1488}]
107221995 [Pos{x=1840, y=0, z=-2544}, Pos{x=1424, y=0, z=-528}, Pos{x=3040, y=0, z=1408}, Pos{x=544, y=0, z=1984}, Pos{x=-672, y=0, z=-1152}]
107639525 [Pos{x=-1088, y=0, z=2912}, Pos{x=1824, y=0, z=1856}, Pos{x=3040, y=0, z=-1536}, Pos{x=-2480, y=0, z=2608}, Pos{x=624, y=0, z=-2896}]
109382594 [Pos{x=-1984, y=0, z=3040}, Pos{x=688, y=0, z=2928}, Pos{x=1568, y=0, z=-2112}, Pos{x=3040, y=0, z=832}, Pos{x=-1616, y=0, z=-1968}]
110647657 [Pos{x=1600, y=0, z=64}, Pos{x=-2656, y=0, z=-2048}, Pos{x=-2064, y=0, z=1072}, Pos{x=2432, y=0, z=-2528}, Pos{x=2352, y=0, z=2896}]
116874875 [Pos{x=-1424, y=0, z=176}, Pos{x=2528, y=0, z=1600}, Pos{x=-1552, y=0, z=1136}, Pos{x=-2960, y=0, z=-2960}, Pos{x=-1216, y=0, z=3040}]
121368470 [Pos{x=-2176, y=0, z=-1760}, Pos{x=-1216, y=0, z=-1792}, Pos{x=3040, y=0, z=-3072}, Pos{x=2960, y=0, z=-240}, Pos{x=-624, y=0, z=1904}]
121837714 [Pos{x=160, y=0, z=2336}, Pos{x=2768, y=0, z=1872}, Pos{x=2528, y=0, z=-2944}, Pos{x=1952, y=0, z=2176}, Pos{x=3040, y=0, z=320}]
122260247 [Pos{x=2432, y=0, z=-1312}, Pos{x=-1952, y=0, z=2176}, Pos{x=-1248, y=0, z=-736}, Pos{x=-2400, y=0, z=-2816}, Pos{x=2848, y=0, z=128}]
124131277 [Pos{x=-2336, y=0, z=-1792}, Pos{x=-704, y=0, z=1472}, Pos{x=3040, y=0, z=-2368}, Pos{x=2832, y=0, z=-2032}, Pos{x=208, y=0, z=1104}]
128233701 [Pos{x=1904, y=0, z=-1200}, Pos{x=2016, y=0, z=1728}, Pos{x=3040, y=0, z=96}, Pos{x=2720, y=0, z=0}, Pos{x=2400, y=0, z=-2624}]
128425655 [Pos{x=-896, y=0, z=1536}, Pos{x=-160, y=0, z=-2624}, Pos{x=2400, y=0, z=-1280}, Pos{x=1872, y=0, z=-560}, Pos{x=-496, y=0, z=3024}]
132037035 [Pos{x=-640, y=0, z=2080}, Pos{x=2368, y=0, z=-2688}, Pos{x=1936, y=0, z=-2896}, Pos{x=2400, y=0, z=1792}, Pos{x=3040, y=0, z=-2368}]
132451979 [Pos{x=-1184, y=0, z=-672}, Pos{x=1616, y=0, z=16}, Pos{x=608, y=0, z=-2496}, Pos{x=3040, y=0, z=-2272}, Pos{x=2368, y=0, z=1856}]
136077593 [Pos{x=-2784, y=0, z=256}, Pos{x=-2048, y=0, z=2816}, Pos{x=-2352, y=0, z=2064}, Pos{x=2512, y=0, z=-2384}, Pos{x=-608, y=0, z=-960}]
139595758 [Pos{x=2848, y=0, z=2304}, Pos{x=2128, y=0, z=1072}, Pos{x=3040, y=0, z=-2496}, Pos{x=-2768, y=0, z=-1968}, Pos{x=608, y=0, z=1088}]
142261988 [Pos{x=-128, y=0, z=-1792}, Pos{x=2208, y=0, z=576}, Pos{x=3008, y=0, z=896}, Pos{x=2080, y=0, z=-2976}, Pos{x=-640, y=0, z=-1472}]
146848740 [Pos{x=-1984, y=0, z=-1312}, Pos{x=-2656, y=0, z=128}, Pos{x=1632, y=0, z=2848}, Pos{x=-864, y=0, z=2816}, Pos{x=656, y=0, z=-1008}]
149675075 [Pos{x=-2608, y=0, z=16}, Pos{x=-1296, y=0, z=688}, Pos{x=2912, y=0, z=-1536}, Pos{x=2816, y=0, z=1024}, Pos{x=528, y=0, z=-1680}]
153589165 [Pos{x=-960, y=0, z=-2432}, Pos{x=-2496, y=0, z=-2976}, Pos{x=3040, y=0, z=-1504}, Pos{x=-2576, y=0, z=-1168}, Pos{x=2976, y=0, z=1024}]
153814494 [Pos{x=960, y=0, z=1344}, Pos{x=-1488, y=0, z=-1136}, Pos{x=1840, y=0, z=-1072}, Pos{x=3040, y=0, z=-1248}, Pos{x=-1504, y=0, z=-2816}]
154305214 [Pos{x=1568, y=0, z=2528}, Pos{x=-480, y=0, z=896}, Pos{x=-192, y=0, z=2048}, Pos{x=2928, y=0, z=-2640}, Pos{x=-736, y=0, z=-3008}]
156553067 [Pos{x=-2432, y=0, z=-3040}, Pos{x=1600, y=0, z=-800}, Pos{x=3040, y=0, z=2112}, Pos{x=2880, y=0, z=2848}, Pos{x=2400, y=0, z=-256}]
156838326 [Pos{x=-112, y=0, z=-1296}, Pos{x=1088, y=0, z=0}, Pos{x=-2720, y=0, z=-2784}, Pos{x=2208, y=0, z=2048}, Pos{x=3040, y=0, z=-2368}]
159062679 [Pos{x=1696, y=0, z=2048}, Pos{x=1200, y=0, z=1072}, Pos{x=-2272, y=0, z=1216}, Pos{x=-1248, y=0, z=-2880}, Pos{x=-656, y=0, z=176}]
160139769 [Pos{x=-2688, y=0, z=-1632}, Pos{x=592, y=0, z=2000}, Pos{x=448, y=0, z=-2048}, Pos{x=2336, y=0, z=-2496}, Pos{x=-352, y=0, z=2496}]
164034126 [Pos{x=1680, y=0, z=-2576}, Pos{x=1280, y=0, z=-128}, Pos{x=-1248, y=0, z=-3008}, Pos{x=-1984, y=0, z=288}, Pos{x=2848, y=0, z=-3072}]
164163844 [Pos{x=1728, y=0, z=-224}, Pos{x=-1136, y=0, z=2320}, Pos{x=-1328, y=0, z=-2032}, Pos{x=2512, y=0, z=2576}, Pos{x=144, y=0, z=-1008}]
169370023 [Pos{x=-112, y=0, z=-2832}, Pos{x=2640, y=0, z=2160}, Pos{x=-1328, y=0, z=-1008}, Pos{x=3040, y=0, z=192}, Pos{x=-672, y=0, z=-2496}]
169975634 [Pos{x=-2592, y=0, z=224}, Pos{x=2272, y=0, z=-1792}, Pos{x=1824, y=0, z=2112}, Pos{x=-368, y=0, z=-2160}, Pos{x=2928, y=0, z=176}]
170377280 [Pos{x=1248, y=0, z=1792}, Pos{x=2144, y=0, z=512}, Pos{x=3040, y=0, z=2912}, Pos{x=544, y=0, z=-2688}, Pos{x=1824, y=0, z=-1792}]
171076803 [Pos{x=-1056, y=0, z=-2688}, Pos{x=2928, y=0, z=112}, Pos{x=1120, y=0, z=2624}, Pos{x=-1728, y=0, z=32}, Pos{x=224, y=0, z=-1472}]
171630555 [Pos{x=3040, y=0, z=1888}, Pos{x=-1888, y=0, z=1824}, Pos{x=-2560, y=0, z=1536}, Pos{x=-2720, y=0, z=2880}, Pos{x=1936, y=0, z=-1904}]
172319576 [Pos{x=2960, y=0, z=784}, Pos{x=-2272, y=0, z=-576}, Pos{x=-2928, y=0, z=-3056}, Pos{x=1616, y=0, z=2544}, Pos{x=-672, y=0, z=-960}]
173471907 [Pos{x=1504, y=0, z=0}, Pos{x=640, y=0, z=2048}, Pos{x=1952, y=0, z=-2976}, Pos{x=3040, y=0, z=2720}, Pos{x=432, y=0, z=1040}]
179600515 [Pos{x=-1568, y=0, z=-1280}, Pos{x=2912, y=0, z=1920}, Pos{x=2912, y=0, z=3008}, Pos{x=2928, y=0, z=-2352}, Pos{x=-416, y=0, z=896}]
181914173 [Pos{x=1392, y=0, z=240}, Pos{x=224, y=0, z=768}, Pos{x=2144, y=0, z=-3008}, Pos{x=-496, y=0, z=2416}, Pos{x=-944, y=0, z=-2160}]
181968751 [Pos{x=2144, y=0, z=384}, Pos{x=96, y=0, z=-2560}, Pos{x=-1184, y=0, z=-3072}, Pos{x=-2512, y=0, z=-240}, Pos{x=1680, y=0, z=-2832}]
182845367 [Pos{x=-2864, y=0, z=-1008}, Pos{x=-2976, y=0, z=1728}, Pos{x=3040, y=0, z=2592}, Pos{x=-2160, y=0, z=-2544}, Pos{x=224, y=0, z=576}]
184824184 [Pos{x=1696, y=0, z=992}, Pos{x=-1824, y=0, z=-960}, Pos{x=3040, y=0, z=-1024}, Pos{x=3040, y=0, z=-2368}, Pos{x=-1440, y=0, z=0}]
185976756 [Pos{x=2400, y=0, z=1792}, Pos{x=-2672, y=0, z=-2832}, Pos{x=-1504, y=0, z=2880}, Pos{x=2832, y=0, z=16}, Pos{x=240, y=0, z=-1232}]
186113742 [Pos{x=2656, y=0, z=768}, Pos{x=2848, y=0, z=-2816}, Pos{x=2784, y=0, z=3008}, Pos{x=-432, y=0, z=2800}, Pos{x=112, y=0, z=1136}]
192429787 [Pos{x=2528, y=0, z=64}, Pos{x=2832, y=0, z=-720}, Pos{x=-2784, y=0, z=1088}, Pos{x=1440, y=0, z=0}, Pos{x=-2112, y=0, z=-1248}]
195040711 [Pos{x=-1600, y=0, z=-1536}, Pos{x=1184, y=0, z=-1216}, Pos{x=2832, y=0, z=-2192}, Pos{x=-224, y=0, z=-2944}, Pos{x=-1936, y=0, z=2896}]
198019513 [Pos{x=2528, y=0, z=-1024}, Pos{x=16, y=0, z=80}, Pos{x=2496, y=0, z=-3072}, Pos{x=-496, y=0, z=-2928}, Pos{x=1728, y=0, z=2080}]
200331438 [Pos{x=560, y=0, z=-1296}, Pos{x=1440, y=0, z=-2048}, Pos{x=-2192, y=0, z=1392}, Pos{x=-1008, y=0, z=2960}, Pos{x=-2096, y=0, z=-496}]
201166222 [Pos{x=992, y=0, z=256}, Pos{x=-2544, y=0, z=816}, Pos{x=-1472, y=0, z=2112}, Pos{x=1872, y=0, z=-720}, Pos{x=-1760, y=0, z=-3072}]
203145072 [Pos{x=1344, y=0, z=1920}, Pos{x=-800, y=0, z=-512}, Pos{x=-1728, y=0, z=-1728}, Pos{x=48, y=0, z=2832}, Pos{x=208, y=0, z=976}]
205025122 [Pos{x=1936, y=0, z=-2096}, Pos{x=-1568, y=0, z=32}, Pos{x=2144, y=0, z=2976}, Pos{x=-2800, y=0, z=-1776}, Pos{x=-2880, y=0, z=2816}]
210222456 [Pos{x=-2720, y=0, z=-1504}, Pos{x=1360, y=0, z=2736}, Pos{x=1792, y=0, z=1024}, Pos{x=2064, y=0, z=-880}, Pos{x=-1664, y=0, z=1280}]
214877424 [Pos{x=-1920, y=0, z=3040}, Pos{x=-2944, y=0, z=-2016}, Pos{x=-1488, y=0, z=2608}, Pos{x=2336, y=0, z=256}, Pos{x=3040, y=0, z=-1664}]
215929409 [Pos{x=-112, y=0, z=1328}, Pos{x=-1504, y=0, z=-384}, Pos{x=2656, y=0, z=-1216}, Pos{x=2656, y=0, z=2272}, Pos{x=-864, y=0, z=1504}]
216881703 [Pos{x=2064, y=0, z=3024}, Pos{x=2032, y=0, z=-1808}, Pos{x=720, y=0, z=-2832}, Pos{x=1568, y=0, z=-960}, Pos{x=-1984, y=0, z=-128}]
218558394 [Pos{x=-2160, y=0, z=-2544}, Pos{x=3040, y=0, z=-704}, Pos{x=2640, y=0, z=-1040}, Pos{x=-1536, y=0, z=1504}, Pos{x=-480, y=0, z=-2752}]
218598668 [Pos{x=-2144, y=0, z=-1056}, Pos{x=2720, y=0, z=0}, Pos{x=3040, y=0, z=3040}, Pos{x=736, y=0, z=-1536}, Pos{x=1472, y=0, z=-3008}]
221763735 [Pos{x=-2416, y=0, z=240}, Pos{x=-2496, y=0, z=960}, Pos{x=-1776, y=0, z=1840}, Pos{x=2464, y=0, z=-1792}, Pos{x=-1456, y=0, z=-2064}]
222054375 [Pos{x=2368, y=0, z=-128}, Pos{x=912, y=0, z=-1136}, Pos{x=3040, y=0, z=2912}, Pos{x=2976, y=0, z=384}, Pos{x=592, y=0, z=1328}]
226873899 [Pos{x=2464, y=0, z=992}, Pos{x=-608, y=0, z=-1248}, Pos{x=1552, y=0, z=2992}, Pos{x=528, y=0, z=2384}, Pos{x=-448, y=0, z=-576}]
229466043 [Pos{x=2912, y=0, z=2048}, Pos{x=2688, y=0, z=-3072}, Pos{x=2976, y=0, z=-768}, Pos{x=-672, y=0, z=1728}, Pos{x=-2576, y=0, z=2032}]
229834913 [Pos{x=2560, y=0, z=-2560}, Pos{x=1440, y=0, z=2336}, Pos{x=848, y=0, z=-2320}, Pos{x=-672, y=0, z=-3008}, Pos{x=560, y=0, z=2064}]
230606192 [Pos{x=2432, y=0, z=288}, Pos{x=224, y=0, z=-3072}, Pos{x=2928, y=0, z=-1136}, Pos{x=2960, y=0, z=-976}, Pos{x=48, y=0, z=-1136}]
231345791 [Pos{x=-1680, y=0, z=-1840}, Pos{x=1936, y=0, z=-1136}, Pos{x=-1312, y=0, z=-928}, Pos{x=-1216, y=0, z=256}, Pos{x=-976, y=0, z=-2960}]
231393827 [Pos{x=-1696, y=0, z=-928}, Pos{x=-928, y=0, z=1088}, Pos{x=-1712, y=0, z=1072}, Pos{x=-1968, y=0, z=2384}, Pos{x=-1936, y=0, z=-2704}]
231862417 [Pos{x=-2144, y=0, z=2048}, Pos{x=2912, y=0, z=-2720}, Pos{x=-672, y=0, z=2688}, Pos{x=-2144, y=0, z=2560}, Pos{x=2176, y=0, z=-2528}]
232510076 [Pos{x=2192, y=0, z=2832}, Pos{x=2624, y=0, z=-1664}, Pos{x=-2976, y=0, z=-2112}, Pos{x=1104, y=0, z=-2544}, Pos{x=96, y=0, z=2048}]
232576910 [Pos{x=1584, y=0, z=-1936}, Pos{x=-208, y=0, z=1200}, Pos{x=-544, y=0, z=2016}, Pos{x=-2000, y=0, z=1584}, Pos{x=2464, y=0, z=-1024}]
232734545 [Pos{x=1392, y=0, z=1328}, Pos{x=-400, y=0, z=2992}, Pos{x=-976, y=0, z=1296}, Pos{x=-1760, y=0, z=-2560}, Pos{x=-1184, y=0, z=-1088}]
233030990 [Pos{x=3040, y=0, z=-864}, Pos{x=2576, y=0, z=2736}, Pos{x=1824, y=0, z=1120}, Pos{x=3040, y=0, z=-1792}, Pos{x=2336, y=0, z=2304}]
234694649 [Pos{x=1984, y=0, z=-2848}, Pos{x=2144, y=0, z=-1760}, Pos{x=3040, y=0, z=2976}, Pos{x=3040, y=0, z=1984}, Pos{x=-2352, y=0, z=-400}]
235585553 [Pos{x=1088, y=0, z=-2816}, Pos{x=-784, y=0, z=-3056}, Pos{x=2352, y=0, z=2672}, Pos{x=-2192, y=0, z=-560}, Pos{x=1584, y=0, z=-816}]
238025238 [Pos{x=2976, y=0, z=1568}, Pos{x=1264, y=0, z=-240}, Pos{x=1408, y=0, z=-960}, Pos{x=352, y=0, z=2688}, Pos{x=-2480, y=0, z=-3024}]
238200787 [Pos{x=3040, y=0, z=-2816}, Pos{x=2784, y=0, z=1536}, Pos{x=3040, y=0, z=2592}, Pos{x=-1760, y=0, z=1856}, Pos{x=432, y=0, z=-2128}]
239894503 [Pos{x=-592, y=0, z=2032}, Pos{x=3008, y=0, z=1536}, Pos{x=-1632, y=0, z=-2240}, Pos{x=-1792, y=0, z=1664}, Pos{x=384, y=0, z=-2304}]
239919784 [Pos{x=2896, y=0, z=2480}, Pos{x=-2096, y=0, z=-2448}, Pos{x=-1072, y=0, z=-2096}, Pos{x=-2768, y=0, z=-2288}, Pos{x=2512, y=0, z=-1072}]
241701342 [Pos{x=-1008, y=0, z=1520}, Pos{x=96, y=0, z=896}, Pos{x=-352, y=0, z=-2624}, Pos{x=64, y=0, z=-2240}, Pos{x=-2432, y=0, z=-1024}]
245311423 [Pos{x=-160, y=0, z=-1152}, Pos{x=-704, y=0, z=-928}, Pos{x=1248, y=0, z=-1728}, Pos{x=2656, y=0, z=2784}, Pos{x=1584, y=0, z=304}]
246027364 [Pos{x=-1088, y=0, z=-768}, Pos{x=2464, y=0, z=768}, Pos{x=-608, y=0, z=2624}, Pos{x=3040, y=0, z=-1152}, Pos{x=-176, y=0, z=-816}]
246371378 [Pos{x=1568, y=0, z=128}, Pos{x=3040, y=0, z=-1792}, Pos{x=-2704, y=0, z=-400}, Pos{x=2848, y=0, z=768}, Pos{x=-928, y=0, z=576}]
246603647 [Pos{x=-1888, y=0, z=-256}, Pos{x=-1440, y=0, z=2112}, Pos{x=3040, y=0, z=-2400}, Pos{x=3040, y=0, z=2592}, Pos{x=1360, y=0, z=-656}]
247537201 [Pos{x=2240, y=0, z=-1760}, Pos{x=-2176, y=0, z=0}, Pos{x=672, y=0, z=3008}, Pos{x=-1232, y=0, z=-3056}, Pos{x=1856, y=0, z=1792}]
254172097 [Pos{x=-1376, y=0, z=2848}, Pos{x=-480, y=0, z=-224}, Pos{x=2240, y=0, z=3040}, Pos{x=3040, y=0, z=3008}, Pos{x=192, y=0, z=2592}]
256556975 [Pos{x=1104, y=0, z=-2608}, Pos{x=-720, y=0, z=2800}, Pos{x=3040, y=0, z=1664}, Pos{x=2976, y=0, z=1792}, Pos{x=1424, y=0, z=-560}]
261016964 [Pos{x=-2080, y=0, z=1536}, Pos{x=352, y=0, z=-2688}, Pos{x=80, y=0, z=1808}, Pos{x=784, y=0, z=2832}, Pos{x=848, y=0, z=-1136}]
261639979 [Pos{x=448, y=0, z=1248}, Pos{x=-784, y=0, z=1552}, Pos{x=3040, y=0, z=1184}, Pos{x=3040, y=0, z=-1152}, Pos{x=2464, y=0, z=2752}]
262297615 [Pos{x=1904, y=0, z=-1328}, Pos{x=-320, y=0, z=-1024}, Pos{x=-1952, y=0, z=3008}, Pos{x=1552, y=0, z=-3056}, Pos{x=2768, y=0, z=1264}]
267734707 [Pos{x=-2352, y=0, z=-2800}, Pos{x=-864, y=0, z=-736}, Pos{x=1776, y=0, z=2512}, Pos{x=2896, y=0, z=2320}, Pos{x=2912, y=0, z=2880}]
268649182 [Pos{x=2976, y=0, z=3008}, Pos{x=-976, y=0, z=-1232}, Pos{x=2976, y=0, z=-1984}, Pos{x=-416, y=0, z=-2720}, Pos{x=-1056, y=0, z=1792}]
275836835 [Pos{x=-2128, y=0, z=2576}, Pos{x=-2128, y=0, z=208}, Pos{x=96, y=0, z=3008}, Pos{x=-2224, y=0, z=-1328}, Pos{x=-1888, y=0, z=-2240}]
278087558 [Pos{x=-2720, y=0, z=1824}, Pos{x=3040, y=0, z=1792}, Pos{x=-2480, y=0, z=-2160}, Pos{x=2928, y=0, z=752}, Pos{x=-2304, y=0, z=2816}]
278834665 [Pos{x=-2720, y=0, z=-480}, Pos{x=2592, y=0, z=-1088}, Pos{x=352, y=0, z=-3072}, Pos{x=2912, y=0, z=2624}, Pos{x=-1728, y=0, z=2624}]
280969163 [Pos{x=1280, y=0, z=1024}, Pos{x=-2656, y=0, z=1216}, Pos{x=2464, y=0, z=-2880}, Pos{x=2976, y=0, z=-2432}, Pos{x=-176, y=0, z=-3056}]
